director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Fernando Lebrija,Fernando Lebrija (director); Devon Werkheiser,Sean Marquette,Camilla Belle,Romance Comedy,sundown,Fernando Lebrija (director); Devon Werkheiser Sean Marquette Camilla Belle Fernando Lebrija Romance Comedy
Greg McLean,Greg McLean (director); Kevin Bacon,Radha Mitchell,unknown,Horror Thriller,the darkness,Greg McLean (director); Kevin Bacon Radha Mitchell unknown Greg McLean Horror Thriller
Whit Stillman,Whit Stillman (director); Kate Beckinsale,Xavier Samuel,Emma Greenwell,Comedy Drama Romance,love & friendship,Whit Stillman (director); Kate Beckinsale Xavier Samuel Emma Greenwell Whit Stillman Comedy Drama Romance
Clay Kaytis,Clay Kaytis (director); Jason Sudeikis,Josh Gad,Danny McBride,Animation Comedy Adventure Family,the angry birds movie,Clay Kaytis (director); Jason Sudeikis Josh Gad Danny McBride Clay Kaytis Animation Comedy Adventure Family
Nicholas Stoller,Nicholas Stoller (director); Seth Rogen,Zac Efron,Rose Byrne,Comedy,neighbors 2: sorority rising,Nicholas Stoller (director); Seth Rogen Zac Efron Rose Byrne Nicholas Stoller Comedy
Shane Black,Shane Black (director); Russell Crowe,Ryan Gosling,Angourie Rice,Comedy Crime Action,the nice guys,Shane Black (director); Russell Crowe Ryan Gosling Angourie Rice Shane Black Comedy Crime Action
Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,Action Adventure Science Fiction Fantasy,x-men: apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence Bryan Singer Action Adventure Science Fiction Fantasy
James Bobin,James Bobin (director); Johnny Depp,Anne Hathaway,Mia Wasikowska,Adventure Family Fantasy,alice through the looking glass,James Bobin (director); Johnny Depp Anne Hathaway Mia Wasikowska James Bobin Adventure Family Fantasy
Dave Green,Dave Green (director); Megan Fox,Stephen Amell,Will Arnett,Action Adventure Comedy Family Science Fiction,teenage mutant ninja turtles: out of the shadows,Dave Green (director); Megan Fox Stephen Amell Will Arnett Dave Green Action Adventure Comedy Family Science Fiction
Thea Sharrock,Thea Sharrock (director); Emilia Clarke,Sam Claflin,unknown,Drama Romance,me before you,Thea Sharrock (director); Emilia Clarke Sam Claflin unknown Thea Sharrock Drama Romance
